especie;nome_comum_ingles;nome_comum_portugues;categoria_ameaca;imagem;mapa;audio;video
Anhima cornuta;Horned Screamer;Anhuma;LC - Pouco Preocupante;Anhima_cornuta.JPG;;https://macaulaylibrary.org/asset/243691721/embed;https://macaulaylibrary.org/asset/201623571/embed
Schistochlamys melanopis;Black-faced Tanager;Sanhaço-de-coleira;LC - Pouco Preocupante;Schistochlamys_melanopis.JPG;;https://macaulaylibrary.org/asset/243691721/embed;https://macaulaylibrary.org/asset/201623571/embed
Attila rufus;Gray-hooded Attila;Capitão-de-sa¡ra;LC - Pouco Preocupante;Attila_rufus.JPG;;https://macaulaylibrary.org/asset/135382/embed;https://macaulaylibrary.org/asset/504653141/embed
Chiroxiphia caudata;Swallow-tailed Manakin;Tangar ;LC - Pouco Preocupante;Chiroxiphia_caudata.JPG;;https://macaulaylibrary.org/asset/135382/embed;https://macaulaylibrary.org/asset/504653141/embed
Patagioenas plumbea (Columba plumbea);Plumbeous Pigeon;Pomba-amargosa;LC - Pouco Preocupante;Patagioenas_plumbea.JPG;;;
Turdus fumigatus;Cocoa Thrush;Sabi -da-mata;LC - Pouco Preocupante;Turdus_fumigatus.JPG;;;
Cyphorhinus arada;Musician Wren;Uirapuru-da-Guiana;LC - Pouco Preocupante;Cyphorhinus_arada.JPG;;;
Furnarius rufus;Rufous Hornero;João-de-barro;LC - Pouco Preocupante;Furnarius_rufus.JPG;;;
Icterus jamacaii;Campo Troupial;Corrupião;LC - Pouco Preocupante;Icterus_jamacaii.JPG;;;
Crypturellus obsoletus;Brown Tinamou;Inhambu-a‡u;LC - Pouco Preocupante;Crypturellus_obsoletus.JPG;;;
Grallaria varia;Variegated Antpitta;Tovacuçu-malhado;LC - Pouco Preocupante;Grallaria_varia.JPG;;;
Campephilus melanoleucos;Crimson-crested Woodpecker;Pica-pau-de-topete-vermelho;LC - Pouco Preocupante;Campephilus_melanoleucos.JPG;;;
Troglodytes musculus (Troglodytes aedon);Southern House Wren;Corru¡ra-de-casa;LC - Pouco Preocupante;Troglodytes_musculus.JPG;;;
Turdus flavipes (Platycichla flavipes);Yellow-legged Thrush;Sabiá-uma;LC - Pouco Preocupante;Turdus_flavipes.JPG;;;
Stephanophorus diadematus;Diademed Tanager;Sanhaço-frade;LC - Pouco Preocupante;Stephanophorus_diadematus.JPG;;;
Pitangus sulphuratus;Great Kiskadee;Bem-te-vi;LC - Pouco Preocupante;Pitangus_sulphuratus.JPG;;;
Pseudoleistes guirahuro;Yellow-rumped Marshbird;Chupim-do-brejo;LC - Pouco Preocupante;Pseudoleistes_guirahuro.JPG;;;
Ara macao;Scarlet Macaw;Araracanga;LC - Pouco Preocupante;Ara_macao.JPG;;;
Cyanoloxia brissonii (Passerina brisooni);Ultramarine Grosbeak;Azulão;LC - Pouco Preocupante;Cyanoloxia_brissonii.JPG;;;
Saltator similis;Green-winged Saltator;Trinca-ferro;LC - Pouco Preocupante;Saltator_similis.JPG;;;
Cyclarhis gujanensis;Rufous-browed Peppershrike;Pitiguari;LC - Pouco Preocupante;Cyclarhis_gujanensis.JPG;;;
Neothraupis fasciata;White-banded Tanager;Cigarra-do-campo;NT - Quase Amea‡ada;Neothraupis_fasciata.JPG;;;
Ramphastos tucanus;White-throated Toucan;Tucano-de-papo-branco;VU - Vulnerável;Ramphastos_tucanus.JPG;;;
Penelope obscura;Dusky-legged Guan;Jacuguaçu;LC - Pouco Preocupante;Penelope_obscura.JPG;;;
Ardea alba;Great-egret;Garça-branca-grande;LC - Pouco Preocupante;Ardea_alba.JPG;;;
Opisthocomus hoazin;Hoatzin;Aturiá;LC - Pouco Preocupante;Opisthocomus_hoazin.JPG;;;
Mycteria americana;Wood Stork;Cabeça-seca;LC - Pouco Preocupante;Mycteria_americana.JPG;;;
Anodorhynchus leari;Indigo Macaw;Arara-azul-de-lear;EN - Em Perigo;Anodorhynchus_leari.JPG;;;
Orthopsittaca manilatus;Red-bellied Macaw;Arara-de-barriga-ruiva;LC - Pouco Preocupante;Orthopsittaca_manilatus.JPG;;;
Guaruba guarouba;Golden Parakeet;Ararajuba;VU - Vulnerável;Guaruba_guarouba.JPG;;;
Primolius maracana;Blue-winged Macaw;Maracanã;NT - Quase Amea‡ada;Primolius_maracana.JPG;;;
Cyanopsitta spixi;Spix's Macaw;Ararinha-azul;CR - Criticamente Ameaçada;Cyanopsitta_spixi.JPG;;;
Diopsittaca nobilis;Red-shouldered Macaw;Maracanã-pequena;LC - Pouco Preocupante;Diopsittaca_nobilis.JPG;;;
Ara chloropterus;Red-and-green Macaw;Arara-vermelha;LC - Pouco Preocupante;Ara_chloropterus.JPG;;;
Ara ararauna;Blue-and-yellow Macaw;Arara-canindé;LC - Pouco Preocupante;Ara_ararauna.JPG;;;
;;;;;;;
;;;;;;;
https://drive.google.com/file/d/1DqA6WBqlLcxUADLeEGjHSmapb_fzAPfS/view?usp=sharing;;;;;;;
https://drive.google.com/drive/folders/1xeEgfJLATGz6Oz8q-y1OzMwu47TRn0s2?usp=drive_link;;;;;;;
https://drive.google.com/file/d/1rTJpxYHh5csEnoLeyABhT0sul3ZOOL4w/view?usp=drive_link;;;;;;;
